latitude,longitude,month,"<xarray.DataArray (latitude: 37, longitude: 396)>
array([[341.8422 , 342.39432, 340.72748, ..., 342.56256, 343.59265,
        344.3616 ],
       [344.22052, 343.81616, 341.52805, ..., 343.6329 , 344.28928,
        346.32333],
       [346.69397, 345.5861 , 343.1191 , ..., 344.73755, 345.69162,
        347.9818 ],
       ...,
       [518.6304 , 518.612  , 518.6868 , ..., 518.5764 , 518.3487 ,
        518.7087 ],
       [518.82385, 518.9407 , 518.91925, ..., 519.49927, 519.33923,
        519.3456 ],
       [519.18536, 519.04926, 519.1632 , ..., 519.95636, 520.32745,
        520.0575 ]], dtype=float32)
Coordinates:
  * longitude  (longitude) float64 -5.0 -4.75 -4.5 -4.25 ... 2.25 2.5 2.75 3.0
  * latitude   (latitude) float32 12.0 11.75 11.5 11.25 ... 3.75 3.5 3.25 3.0
    month      (longitude) int64 1 1 1 1 1 1 1 1 1 ... 12 12 12 12 12 12 12 12"
12.0,-5.0,1,341.8422
12.0,-4.75,1,342.39432
12.0,-4.5,1,340.72748
12.0,-4.25,1,338.98462
12.0,-4.0,1,340.47012
12.0,-3.75,1,340.0012
12.0,-3.5,1,339.83804
12.0,-3.25,1,338.14056
12.0,-3.0,1,341.59995
12.0,-2.75,1,343.18198
12.0,-2.5,1,338.2199
12.0,-2.25,1,337.90326
12.0,-2.0,1,338.06976
12.0,-1.75,1,338.11087
12.0,-1.5,1,339.0796
12.0,-1.25,1,337.46875
12.0,-1.0,1,335.12665
12.0,-0.75,1,334.42624
12.0,-0.5,1,334.1406
12.0,-0.25,1,334.03055
12.0,0.0,1,334.51093
12.0,0.25,1,335.22818
12.0,0.5,1,335.49365
12.0,0.75,1,333.78387
12.0,1.0,1,332.344
12.0,1.25,1,331.85452
12.0,1.5,1,332.4113
12.0,1.75,1,332.8863
12.0,2.0,1,332.84872
12.0,2.25,1,333.16425
12.0,2.5,1,333.34784
12.0,2.75,1,333.83328
12.0,3.0,1,333.72147
