latitude,longitude,month,HEAT INDEX
12,-5,1,80.8989
12,-4.75,1,80.98457
12,-4.5,1,80.91412
12,-4.25,1,80.60649
12,-4,1,80.47516
12,-3.75,1,80.60331
12,-3.5,1,80.73375
12,-3.25,1,80.654205
12,-3,1,80.454254
12,-2.75,1,80.46681
12,-2.5,1,80.56758
12,-2.25,1,80.613594
12,-2,1,80.55972
12,-1.75,1,80.43741
12,-1.5,1,80.33363
12,-1.25,1,80.3123
12,-1,1,80.39002
12,-0.75,1,80.38062
12,-0.5,1,80.34744
12,-0.25,1,80.3305
12,0,1,80.331924
12,0.25,1,80.40491
12,0.5,1,80.45815
12,0.75,1,80.525734
12,1,1,80.57829
12,1.25,1,80.56947
12,1.5,1,80.499115
12,1.75,1,80.4545
12,2,1,80.43978
12,2.25,1,80.34939
12,2.5,1,80.223366
12,2.75,1,80.093254
12,3,1,80.02615
12,-5,2,84.6682
12,-4.75,2,84.73646
12,-4.5,2,84.667145
12,-4.25,2,84.36138
12,-4,2,84.235596
12,-3.75,2,84.36397
12,-3.5,2,84.47296
12,-3.25,2,84.384186
12,-3,2,84.140236
12,-2.75,2,84.15906
12,-2.5,2,84.31105
12,-2.25,2,84.3887
12,-2,2,84.33523
12,-1.75,2,84.20261
12,-1.5,2,84.08799
12,-1.25,2,84.06497
12,-1,2,84.17825
12,-0.75,2,84.161865
12,-0.5,2,84.12439
12,-0.25,2,84.09707
12,0,2,84.066345
12,0.25,2,84.14962
12,0.5,2,84.20573
12,0.75,2,84.301445
12,1,2,84.37934
12,1.25,2,84.384926
12,1.5,2,84.32839
12,1.75,2,84.279015
12,2,2,84.26223
12,2.25,2,84.17211
12,2.5,2,84.05361
12,2.75,2,83.91356
12,3,2,83.84001
12,-5,3,89.47121
12,-4.75,3,89.55423
12,-4.5,3,89.58107
12,-4.25,3,89.368965
12,-4,3,89.36356
12,-3.75,3,89.47606
12,-3.5,3,89.59333
12,-3.25,3,89.53252
12,-3,3,89.43332
12,-2.75,3,89.492805
12,-2.5,3,89.48786
12,-2.25,3,89.57368
12,-2,3,89.569466
12,-1.75,3,89.50592
12,-1.5,3,89.47061
12,-1.25,3,89.42028
12,-1,3,89.491516
12,-0.75,3,89.47458
12,-0.5,3,89.44749
12,-0.25,3,89.44341
12,0,3,89.44334
12,0.25,3,89.5476
12,0.5,3,89.61429
12,0.75,3,89.6625
12,1,3,89.703354
12,1.25,3,89.711784
12,1.5,3,89.70316
12,1.75,3,89.701675
12,2,3,89.70308
12,2.25,3,89.68278
12,2.5,3,89.64077
12,2.75,3,89.54233
12,3,3,89.47935
12,-5,4,95.866714
12,-4.75,4,95.98438
12,-4.5,4,96.17638
12,-4.25,4,95.78776
12,-4,4,95.83127
12,-3.75,4,96.02691
12,-3.5,4,96.17116
12,-3.25,4,96.0071
12,-3,4,95.95868
12,-2.75,4,96.12054
12,-2.5,4,95.92895
12,-2.25,4,95.97606
12,-2,4,96.03299
12,-1.75,4,95.977715
12,-1.5,4,96.02892
12,-1.25,4,95.96932
12,-1,4,95.87388
12,-0.75,4,95.80837
12,-0.5,4,95.77199
12,-0.25,4,95.80865
12,0,4,95.8154
12,0.25,4,95.928635
12,0.5,4,96.1256
12,0.75,4,96.08571
12,1,4,96.059784
12,1.25,4,96.000565
12,1.5,4,95.99858
12,1.75,4,96.04207
12,2,4,95.89846
12,2.25,4,95.90965
12,2.5,4,95.90175
12,2.75,4,95.782646
12,3,4,95.7129
12,-5,5,97.97196
12,-4.75,5,98.215164
12,-4.5,5,98.49258
12,-4.25,5,97.784454
12,-4,5,97.70482
12,-3.75,5,97.93135
12,-3.5,5,98.03444
12,-3.25,5,97.85892
12,-3,5,97.6897
12,-2.75,5,97.73606
12,-2.5,5,97.44398
12,-2.25,5,97.495926
12,-2,5,97.63937
12,-1.75,5,97.54885
12,-1.5,5,97.58592
12,-1.25,5,97.544945
12,-1,5,97.45619
12,-0.75,5,97.29547
12,-0.5,5,97.22821
12,-0.25,5,97.32325
12,0,5,97.33793
12,0.25,5,97.55403
12,0.5,5,97.74146
12,0.75,5,97.64046
12,1,5,97.5484
12,1.25,5,97.40715
12,1.5,5,97.55336
12,1.75,5,97.766785
12,2,5,97.70984
12,2.25,5,97.83655
12,2.5,5,97.95302
12,2.75,5,97.91342
