year,latitude,longitude,t
1980,0,0,30.08075
1980,0,1,30.03302
1980,0,2,30.087769
1980,0,3,30.148285
1980,0,4,30.141296
1980,0,5,30.184265
1980,0,6,30.26825
1980,0,7,30.325684
1980,0,8,30.274109
1980,0,9,30.202637
1980,0,10,30.166016
1980,0,11,30.184906
1980,0,12,30.157867
1980,0,13,30.13269
1980,0,14,30.104675
1980,0,15,30.072144
1980,0,16,30.12436
1980,0,17,30.078308
1980,0,18,30.059937
1980,0,19,30.092804
1980,0,20,30.12793
1980,0,21,30.185394
1980,0,22,30.187866
1980,0,23,30.199219
1980,0,24,30.162292
1980,0,25,30.130402
1980,0,26,30.105835
1980,0,27,30.117035
1980,0,28,30.179077
1980,0,29,30.20639
1980,0,30,30.250366
1980,0,31,30.244507
1980,0,32,30.19989
1980,1,0,29.94992
1980,1,1,29.91864
1980,1,2,29.944702
1980,1,3,29.98468
1980,1,4,29.982117
1980,1,5,30.048706
1980,1,6,30.154175
1980,1,7,30.206238
1980,1,8,30.14273
1980,1,9,30.099304
1980,1,10,30.072144
1980,1,11,30.070312
1980,1,12,30.041687
1980,1,13,29.99353
1980,1,14,29.943817
1980,1,15,29.898132
1980,1,16,29.936829
1980,1,17,29.913269
1980,1,18,29.914886
1980,1,19,29.950684
1980,1,20,29.981903
1980,1,21,30.048676
1980,1,22,30.068848
1980,1,23,30.06903
1980,1,24,30.018402
1980,1,25,29.999695
1980,1,26,29.987793
1980,1,27,30.012207
1980,1,28,30.082367
1980,1,29,30.097382
1980,1,30,30.153076
1980,1,31,30.156097
1980,1,32,30.1091
1980,2,0,29.858398
1980,2,1,29.819824
1980,2,2,29.807526
1980,2,3,29.837097
1980,2,4,29.855164
1980,2,5,29.940094
1980,2,6,30.015808
1980,2,7,30.055176
1980,2,8,30.024384
1980,2,9,29.994476
1980,2,10,29.957031
1980,2,11,29.932312
1980,2,12,29.904358
1980,2,13,29.841003
1980,2,14,29.786316
1980,2,15,29.746765
1980,2,16,29.7435
1980,2,17,29.74112
1980,2,18,29.801758
1980,2,19,29.825226
1980,2,20,29.852753
1980,2,21,29.944336
1980,2,22,29.944519
1980,2,23,29.90152
1980,2,24,29.84555
1980,2,25,29.845734
1980,2,26,29.867035
1980,2,27,29.922424
1980,2,28,29.9935
1980,2,29,29.986664
1980,2,30,30.01596
1980,2,31,30.01712
1980,2,32,29.996765
1980,3,0,29.692078
1980,3,1,29.618317
1980,3,2,29.606628
1980,3,3,29.673187
1980,3,4,29.718933
1980,3,5,29.81842
1980,3,6,29.847687
1980,3,7,29.876984
1980,3,8,29.90039
1980,3,9,29.853363
1980,3,10,29.79248
1980,3,11,29.762207
1980,3,12,29.728394
1980,3,13,29.680847
1980,3,14,29.64566
1980,3,15,29.620483
1980,3,16,29.585419
1980,3,17,29.575409
1980,3,18,29.669464
1980,3,19,29.673828
1980,3,20,29.67987
1980,3,21,29.77948
1980,3,22,29.741882
1980,3,23,29.669281
1980,3,24,29.652832
1980,3,25,29.685425
1980,3,26,29.738037
1980,3,27,29.807129
1980,3,28,29.855164
1980,3,29,29.850922
1980,3,30,29.859375
1980,3,31,29.847198
1980,3,32,29.863892
1980,4,0,29.387695
1980,4,1,29.324554
1980,4,2,29.34851
1980,4,3,29.466309
1980,4,4,29.538422
1980,4,5,29.651733
1980,4,6,29.681824
1980,4,7,29.705933
1980,4,8,29.737793
1980,4,9,29.67337
1980,4,10,29.625824
1980,4,11,29.600922
1980,4,12,29.557129
1980,4,13,29.555847
1980,4,14,29.533081
1980,4,15,29.479248
1980,4,16,29.435425
1980,4,17,29.416168
1980,4,18,29.513184
1980,4,19,29.519714
1980,4,20,29.480164
1980,4,21,29.536133
1980,4,22,29.48523
1980,4,23,29.42923
1980,4,24,29.47284
1980,4,25,29.533691
1980,4,26,29.585785
1980,4,27,29.640808
1980,4,28,29.66394
1980,4,29,29.672272
1980,4,30,29.6828
1980,4,31,29.680023
1980,4,32,29.726288
1980,5,0,29.158905
1980,5,1,29.134766
1980,5,2,29.150726
1980,5,3,29.240051
1980,5,4,29.3208
1980,5,5,29.434784
1980,5,6,29.484741
1980,5,7,29.514221
1980,5,8,29.539429
1980,5,9,29.487335
1980,5,10,29.478699
1980,5,11,29.47998
1980,5,12,29.424011
1980,5,13,29.442871
1980,5,14,29.431824
1980,5,15,29.346039
1980,5,16,29.297546
1980,5,17,29.265137
1980,5,18,29.309418
1980,5,19,29.306183
1980,5,20,29.270203
1980,5,21,29.305481
1980,5,22,29.257812
1980,5,23,29.223145
1980,5,24,29.285217
1980,5,25,29.338867
1980,5,26,29.395355
1980,5,27,29.481628
1980,5,28,29.509277
1980,5,29,29.48944
1980,5,30,29.482117
1980,5,31,29.50409
1980,5,32,29.568695
1980,6,0,29.035309
1980,6,1,29.028473
1980,6,2,29.000977
1980,6,3,29.003601
1980,6,4,29.075867
1980,6,5,29.203003
1980,6,6,29.262207
1980,6,7,29.300476
1980,6,8,29.345245
1980,6,9,29.299988
1980,6,10,29.302124
1980,6,11,29.36084
1980,6,12,29.306335
1980,6,13,29.28711
1980,6,14,29.2995
1980,6,15,29.227234
1980,6,16,29.160706
1980,6,17,29.114105
1980,6,18,29.098663
1980,6,19,29.070679
1980,6,20,29.07312
1980,6,21,29.097351
1980,6,22,29.03061
1980,6,23,28.99939
1980,6,24,29.047241
1980,6,25,29.090485
1980,6,26,29.181152
1980,6,27,29.306824
1980,6,28,29.325714
1980,6,29,29.295258
1980,6,30,29.306519
1980,6,31,29.344727
1980,6,32,29.396667
1980,7,0,28.883148
1980,7,1,28.878113
1980,7,2,28.829285
1980,7,3,28.766418
1980,7,4,28.806
1980,7,5,28.951385
1980,7,6,29.036102
1980,7,7,29.09555
1980,7,8,29.178253
1980,7,9,29.121887
1980,7,10,29.097992
1980,7,11,29.20868
1980,7,12,29.165863
1980,7,13,29.095215
1980,7,14,29.123352
1980,7,15,29.092957
1980,7,16,29.025085
1980,7,17,28.99823
1980,7,18,28.987488
1980,7,19,28.939606
1980,7,20,28.917969
1980,7,21,28.874542
1980,7,22,28.788055
1980,7,23,28.771454
